Municipality,Canton,TLS,correct redirect,people
Reutigen,BE,False,False,983
Riggisberg,BE,True,True,2491
Ringgenberg (BE),BE,False,False,2663
Roches (BE),BE,True,True,196
Roggwil (BE),BE,False,False,4051
Rohrbach,BE,True,True,1469
Rohrbachgraben,BE,True,True,397
Romont (BE),BE,False,False,188
Röthenbach im Emmental,BE,False,False,1184
Rubigen,BE,False,False,2924
Rüderswil,BE,False,False,2363
Rüdtligen-Alchenflüh,BE,False,False,2396
Rüeggisberg,BE,True,True,1789
Rüegsau,BE,True,True,3256
Rumendingen,BE,True,True,77
Rumisberg,BE,False,False,487
Rümligen,BE,True,True,440
Rüschegg,BE,False,False,1630
Rüti bei Büren,BE,True,False,846
Rüti bei Lyssach,BE,True,True,166
Rütschelen,BE,False,False,564
Saanen,BE,False,False,6901
Safnern,BE,False,False,1903
Saicourt,BE,False,False,626
Saint-Imier,BE,True,False,5156
Sauge,BE,False,False,816
Saules (BE),BE,True,True,153
Saxeten,BE,True,True,100
Schangnau,BE,False,False,897
Schattenhalb,BE,False,False,560
Schelten,BE,True,False,34
Scheuren,BE,True,True,447
Schüpfen,BE,False,False,3752
Schwadernau,BE,True,True,673
Schwanden bei Brienz,BE,True,True,603
Schwarzenburg,BE,False,False,6827
Schwarzhäusern,BE,False,False,517
Schwendibach,BE,False,False,249
Seeberg,BE,False,False,1545
Seedorf (BE),BE,True,True,3113
Seehof,BE,True,True,63
Seftigen,BE,True,True,2191
Signau,BE,False,False,2694
Sigriswil,BE,True,False,4788
Siselen,BE,True,True,574
Sonceboz-Sombeval,BE,True,True,1944
Sonvilier,BE,True,True,1240
Sorvilier,BE,True,True,279
Spiez,BE,False,False,12707
St. Stephan,BE,True,True,1332
Steffisburg,BE,True,True,15816
Stettlen,BE,False,False,3105
Stocken-Höfen,BE,False,False,1004
Studen (BE),BE,False,False,3278
Sumiswald,BE,True,False,5044
Sutz-Lattrigen,BE,True,True,1382
Täuffelen,BE,True,True,2821
Tavannes,BE,False,False,3626
Teuffenthal (BE),BE,True,True,165
Thierachern,BE,True,True,2401
Thörigen,BE,True,True,1127
Thun,BE,False,False,43743
Thunstetten,BE,False,False,3320
Toffen,BE,False,False,2557
Trachselwald,BE,True,True,961
Tramelan,BE,True,True,4595
Treiten,BE,False,False,420
Trub,BE,True,True,1353
Trubschachen,BE,True,True,1444
Tschugg,BE,True,True,446
Twann-Tüscherz,BE,False,False,1134
Uebeschi,BE,True,True,685
Uetendorf,BE,True,False,5950
Unterlangenegg,BE,True,False,987
Unterseen,BE,True,True,5712
Ursenbach,BE,True,True,905
Urtenen-Schönbühl,BE,False,False,6222
Uttigen,BE,True,True,2070
Utzenstorf,BE,True,True,4295
Valbirse,BE,True,True,4017
Vechigen,BE,True,True,5242
Villeret,BE,False,False,924
Vinelz,BE,True,True,860
Wachseldorn,BE,True,True,234
Wald (BE),BE,True,True,1171
Walkringen,BE,False,False,1782
Walliswil bei Niederbipp,BE,False,False,221
Walliswil bei Wangen,BE,False,False,601
Walperswil,BE,True,True,1008
Walterswil (BE),BE,True,True,554
Wangen an der Aare,BE,False,False,2301
Wangenried,BE,False,False,431
Wattenwil,BE,True,True,2895
Wengi,BE,True,True,617
Wichtrach,BE,False,False,4318
Wiedlisbach,BE,True,True,2317
Wiggiswil,BE,True,True,102
Wilderswil,BE,False,False,2672
Wiler bei Utzenstorf,BE,True,True,910
Wileroltigen,BE,True,True,357
Willadingen,BE,False,False,207
Wimmis,BE,False,False,2446
Wohlen bei Bern,BE,False,False,9215
Wolfisberg,BE,False,False,179
Worb,BE,False,False,11394
Worben,BE,False,False,2266
Wynau,BE,False,False,1630
Wynigen,BE,False,False,2043
Wyssachen,BE,True,False,1161
Zäziwil,BE,False,False,1628
Zielebach,BE,True,True,323
Zollikofen,BE,False,False,10314
Zuzwil (BE),BE,True,True,572
Zweisimmen,BE,False,False,3030
Zwieselberg,BE,True,True,324
Aclens,VD,True,False,544
Agiez,VD,False,False,314
Aigle,VD,True,True,10131
Allaman,VD,False,False,438
Apples,VD,False,False,1440
Arnex-sur-Nyon,VD,True,False,224
Arnex-sur-Orbe,VD,False,False,641
Arzier-Le Muids,VD,False,False,2656
Assens,VD,True,False,1069
Aubonne,VD,False,False,3263
Avenches,VD,True,True,4208
Ballaigues,VD,False,False,1092
Ballens,VD,False,False,524
Bassins,VD,True,True,1351
Baulmes,VD,False,False,1056
Bavois,VD,False,False,926
Begnins,VD,True,True,1910
Belmont-sur-Lausanne,VD,True,True,3655
Belmont-sur-Yverdon,VD,False,False,378
Bercher,VD,True,True,1217
Berolle,VD,True,True,301
Bettens,VD,False,False,571
Bex,VD,True,True,7747
Bière,VD,False,False,1572
Bioley-Magnoux,VD,False,False,225
Bioley-Orjulaz,VD,True,True,491
Blonay,VD,True,True,6190
Bofflens,VD,True,True,192
Bogis-Bossey,VD,True,True,910
Bonvillars,VD,True,False,497
Borex,VD,True,True,1129
Bottens,VD,True,True,1262
Bougy-Villars,VD,False,False,481
Boulens,VD,True,True,378
Bourg-en-Lavaux,VD,False,False,5285
Bournens,VD,True,True,417
Boussens,VD,False,False,982
Bremblens,VD,False,False,547
Bretigny-sur-Morrens,VD,False,False,823
Bretonnières,VD,False,False,262
Buchillon,VD,False,False,641
Bullet,VD,False,False,644
Bursinel,VD,True,True,487
Bursins,VD,False,False,738
Burtigny,VD,False,False,359
Bussigny,VD,True,True,8645
Bussy-Chardonney,VD,False,False,374
Bussy-sur-Moudon,VD,True,True,208
Chamblon,VD,False,False,533
Champagne,VD,False,False,1027
Champtauroz,VD,True,True,128
Champvent,VD,False,False,674
Chardonne,VD,True,True,2914
Château-d&#39;Oex,VD,False,False,3433
Chavannes-de-Bogis,VD,False,False,1306
Chavannes-des-Bois,VD,True,True,962
Chavannes-le-Chêne,VD,False,False,298
Chavannes-le-Veyron,VD,False,False,141
Chavannes-près-Renens,VD,True,True,7649
Chavannes-sur-Moudon,VD,False,False,220
Chavornay,VD,False,False,4903
Chêne-Pâquier,VD,True,True,138
Cheseaux-Noréaz,VD,False,False,703
